Run,Reference,,T_C,P_kbar,fO2_value,fO2_unit,fO2_comment,n_cpx,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeO_Cpx,Fe2O3_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,P2O5_Cpx,Cr2O3_Cpx,NiO_Cpx,SiO2_Cpx_sd,TiO2_Cpx_sd,Al2O3_Cpx_sd,FeO_Cpx_sd,Fe2O3_Cpx_sd,MnO_Cpx_sd,MgO_Cpx_sd,CaO_Cpx_sd,Na2O_Cpx_sd,K2O_Cpx_sd,P2O5_Cpx_sd,Cr2O3_Cpx_sd,NiO_Cpx_sd,Cpx_sd,n_Liq,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeO_Liq,Fe2O3_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,Cr2O3_Liq,NiO_Liq,H2O_Liq,H2O_Method,UnnormalizedTotal_Liq,Total_100_norm,SiO2_Liq_sd,TiO2_Liq_sd,Al2O3_Liq_sd,FeO_Liq_sd,Fe2O3_Liq_sd,MnO_Liq_sd,MgO_Liq_sd,CaO_Liq_sd,Na2O_Liq_sd,K2O_Liq_sd,P2O5_Liq_sd,Cr2O3_Liq_sd,NiO_Liq_sd,SiO2_Start,TiO2_Start,Al2O3_Start,Cr2O3_Start,FeO_Start,Fe2O3_Start,MnO_Start,MgO_Start,CaO_Start,Na2O_Start,K2O_Start,P2O5_Start,NiO_Start,H2O_Start,H2O_sat,Bt_Frac,Amph_Frac,Phl_Frac,Ap_Frac,Liq_frac,H2O_measurement,Comments
1925,Adam_et al_2007,,1050,10,,,,10,"47,55","2,21","7,77","8,75",,"0,17","13,38","19,22","0,63",,"0,06","0,36",0,"1,26","0,65","1,32","0,42",,"0,01","0,99","0,53","0,07",0,"0,03","0,14",0,,11,"46,27","2,01","16,03","9,26",,"0,16","4,84","7,61","3,32","1,27","0,7","0,02","0,04",,,"92,26",,"0,19","0,05","0,08","0,14",0,"0,03","0,05","0,07","0,11","0,04","0,06","0,01","0,03","48,47","2,13","15,2","0,03","10,96",,"0,16","9,15","8,95","3,19","1,15","0,59",,5,,,12,,,75,,
1923,Adam_et al_2007,,1050,20,,,,16,"51,91","0,63","4,22","7,12",,"0,16","16,23","18,25","0,86",,0,"0,09","0,02","0,73","0,16","1,11","0,65",,"0,04","0,74","0,97","0,11",0,0,"0,05","0,02",,20,52,"2,57","16,48","8,11",,"0,1","5,79","8,3","4,23","1,47","0,88","0,02",0,,,"84,83",,"0,81","0,08","0,26","6,91",0,"0,03","0,53","0,46",,"0,29","0,05","0,02",0,"48,47","2,13","15,2","0,03","10,96",,"0,16","9,15","8,95","3,19","1,15","0,59",,10,,,16,,,67,,
1941,Adam_et al_2007,,1050,15,,,,2,"49,31","0,89","5,49","7,12",,"0,15","15,19","18,14","0,75",,"0,03","0,1",0,"0,66","0,1","0,21","0,65",,"0,01","0,31","0,22","0,04",0,0,"0,02",0,,13,"44,44","1,93","14,66","9,86",,"0,14","5,05","7,18","3,04","1,21","0,68","0,03","0,02",,,"89,02",,"0,72","0,06","0,19","0,18",0,"0,02","0,08","0,09","0,17","0,04","0,05","0,01","0,01","48,47","2,13","15,2","0,03","10,96",,"0,16","9,15","8,95","3,19","1,15","0,59",,"7,5",,,21,,,72,,
1541,Adam_et al_2007,,1050,20,,,,,"49,46","0,63","5,73","7,1",,"0,12","14,16","21,61","1,01",,"0,03","0,11","0,18","0,49","0,15","0,81","0,37",,"0,03","0,69","0,4","0,18",0,"0,02","0,06","0,04",,,"35,79","1,25","12,56","5,02",,"0,05","4,65","7,35","1,17","1,26","1,26","0,01","0,13",,,"70,95",,,,,,,,,,,,,,,"46,66","2,19","14,09","0,07","9,83",,"0,16","8,43","9,62","3,5",2,"0,85",,10,,,11,,,77,,
1534,Adam&Green_1994,,1200,20,,,,14,"50,79","0,66","6,28","5,45",,"0,13","14,78","19,57","1,2",,0,"0,38",0,"0,54","0,1","0,53","0,15",,"0,03","0,3","0,2","0,06",0,0,"0,12",0,,,"43,95","2,28","14,52","8,94",,"0,18","7,48","8,08","3,56","2,21",,,,,,"90,54",,,,,,,,,,,,,,,"46,66","2,19","14,09","0,07","9,83",,"0,16","8,43","9,62","3,5",2,"0,85",,5,,,,,,,,
AB12,Almeev_et_al_2013,,1100,"7,04",,,,18,"48,2","0,76","6,5","10,8",,"0,31",14,"18,1","0,58","0,04",,,,"0,5","0,01","0,4","0,4",,"0,06","0,3","0,5","0,06","0,02",,,,,,"56,43","1,41","16,64","9,2",,"0,2","3,93","7,55","3,2","1,44",,,,"2,5",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB15,Almeev_et_al_2013,,1140,"7,02",,,,3,"51,1","0,5","4,4","10,9",,"0,38","16,2","16,3","0,2","0,03",,,,"0,9","0,1","0,8","0,4",,"0,03","0,8","0,6","0,2","0,002",,,,,,"54,87","1,49","16,16","10,87",,"0,15","4,17","8,22","2,74","1,33",,,,"1,12",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB20,Almeev_et_al_2013,,1050,"7,03",,,,3,"48,8","0,9","6,7","10,4",,"0,32","13,6","18,2","0,6","0,07",,,,"0,7","0,1","0,9","0,3",,"0,09","0,9","0,7","0,2","0,08",,,,,,"59,31","1,3","17,77","6,96",,"0,21","2,91","6,55","3,43","1,56",,,,"2,9",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB21,Almeev_et_al_2013,,1050,"7,03",,,,6,"47,5","0,89","7,9","9,6",,"0,27","13,7","19,5","0,66","0,03",,,,"0,3","0,03","0,2","0,2",,"0,02","0,1","0,5","0,04","0,01",,,,,,"56,54",1,"19,82","6,85",,"0,12","3,53","7,99","3,11","1,04",,,,"3,4",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB22,Almeev_et_al_2013,,1050,"7,03",,,,4,"47,3","0,9","8,1","9,3",,"0,28","14,1","19,3","0,4",0,,,,"0,5","0,1","0,5","0,6",,"0,05","0,3","0,9","0,2",0,,,,,,"56,58","0,89","19,55","6,9",,"0,15","3,97","7,73","3,14","1,09",,,,"3,7",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
